Tm,Tm_ab,Lg,HR,W,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle
San Francisco Giants,SF,NL,177,80,4,2.05,1.405,0.729,177,177,104.7,28.6,2286,88.8,89.1,0,177,0,0.29999999999999716,6.41,110,149,119,148,299,323,296,-239.3,239.3,75.4,7.5,177,177,0,0,0,177,0,0,0,0,2.23926,0.72931,0.29903,-0.09153,104.7,401,98.87005649717514,87.57062146892656,87.57062146892656,5.8,-0.7,0,2.51,1,155,135.1932203,0.729,2.69,-135.1932203,0.271,0.271,1.31,0.645,0,38.2
Texas Rangers,TEX,AL,176,78,4,2.05,1.245,0.653,176,176,103.3,29,2235,88.5,88.6,0,176,0,0.1,6.38,110,149,122,149,301,327,298,-244.2,244.2,74.1,7.4,176,176,0,0,0,176,0,0,0,0,2.26744,0.68074,0.32829,-0.03389,103.3,391,97.72727272727273,83.52272727272727,83.52272727272727,5.83,-0.8,0.03,2.5,1,147,138.7681818,0.653,2.376,-138.7681818,0.347,0.347,1.624,0.805,0,39.8
Cincinnati Reds,CIN,NL,174,77,4,2.05,1.218,0.64,174,174,103.1,28.9,2245,90,90.36,0,174,0,0.4000000000000057,6.47,113,148,117,148,296,322,293,-238.9,238.9,73.7,7.4,174,174,0,0,0,174,0,0,0,0,2.09713,0.73753,0.40601,-0.22405,103.1,394,97.70114942528735,77.58620689655173,77.58620689655173,5.87,-0.78,0.02,2.56,1,135,137.2833333,0.64,2.331,-137.2833333,0.36,0.36,1.669,0.832,0,39.8
Chicago Cubs,CHC,NL,170,83,4,2.05,1.395,0.727,170,170,104.3,28.6,2313,90.2,90.63,0,170,0,0.3999999999999915,6.47,111,148,120,147,299,322,297,-241.2,241.2,74.5,7.5,170,170,0,0,0,170,0,0,0,0,2.17518,0.65465,0.34459,-0.09624,104.3,398,98.82352941176471,92.35294118,92.35294118,5.76,-0.99,-0.03,2.46,1,157,141.8788235,0.727,2.672,-141.8788235,0.273,0.273,1.328,0.655,0,37.1
Kansas City Royals,KC,AL,170,86,4,2.05,1.402,0.735,170,170,104.6,27.9,2223,89.1,89.5,0,170,0,0.4000000000000057,6.46,112,149,119,148,303,326,300,-234.4,234.4,75.2,7.5,170,170,0,0,0,170,0,0,0,0,2.23565,0.66641,0.31894,-0.072,104.6,403,98.23529411764706,87.05882352941177,87.05882352941177,5.79,-1.11,0.01,2.52,1,148,137.89,0.735,2.689,-137.89,0.265,0.265,1.311,0.648,0,39.3
St. Louis Cardinals,STL,NL,165,83,4,2.05,1.313,0.691,165,165,103.8,28.4,2257,88.5,88.89,0,165,0,0.4000000000000057,6.46,110,148,119,148,301,325,299,-220.4,220.4,74.7,7.7,165,165,0,0,0,165,0,0,0,0,2.37293,0.58327,0.25512,-0.11549,103.8,397,94.54545454545455,82.42424242424242,82.42424242424242,5.76,-0.79,-0.01,2.47,1,136,133.5739394,0.691,2.506,-133.5739394,0.309,0.30900000000000005,1.494,0.737,0,38.5
Los Angeles Angels,LAA,AL,165,63,4,2.05,1.39,0.722,165,165,104.4,28.6,2306,89.5,89.65,0,165,0,0.20000000000000284,6.45,110,150,118,148,302,323,296,-230.2,230.2,74.4,7.4,165,165,0,0,0,165,0,0,0,0,2.18903,0.7097,0.26774,0.04494,104.4,399,98.78787879,89.6969697,89.6969697,5.76,-1.12,0.04,2.44,1,148,139.5448485,0.722,2.664,-139.5448485,0.278,0.278,1.336,0.66,0,38.3
Detroit Tigers,DET,AL,162,86,4,2.05,1.264,0.656,162,162,103.6,29.5,2251,88.4,88.78,0,162,0,0.3999999999999915,6.5,111,148,119,149,294,324,295,-236.5,236.5,74.1,7.4,162,162,0,0,0,162,0,0,0,0,2.28154,0.67111,0.21571,-0.05335,103.6,392,96.91358024691358,80.24691358024691,80.24691358024691,5.7,-1.24,-0.02,2.52,1,130,145.9802469,0.656,2.414,-145.9802469,0.344,0.344,1.586,0.786,0,38.4
Pittsburgh Pirates,PIT,NL,160,76,4,2.05,1.444,0.761,160,160,105.4,27.8,2289,90,90.36,0,160,0,0.4000000000000057,6.47,111,148,123,148,303,323,294,-227.6,227.6,75.5,7.5,160,160,0,0,0,160,0,0,0,0,2.12944,0.71512,0.34581,-0.12744,105.4,402,99.375,91.25,91.25,5.8,-0.78,-0.01,2.59,1,146,142.2575,0.761,2.762,-142.2575,0.239,0.239,1.238,0.606,0,38.6
Toronto Blue Jays,TOR,AL,156,74,4,2.05,1.278,0.667,156,156,103.5,28.8,2270,88.8,88.97,0,156,0,0.20000000000000284,6.44,108,149,119,148,298,324,292,-218.9,218.9,74.7,7.5,156,156,0,0,0,156,0,0,0,0,2.22381,0.71222,0.2511,-0.05523,103.5,395,95.51282051282051,82.69230769,82.69230769,5.76,-1.28,0.01,2.47,1,129,140.3275641,0.667,2.444,-140.3275641,0.333,0.33299999999999996,1.556,0.772,0,38.4
Miami Marlins,MIA,NL,150,62,4,2.05,1.397,0.715,150,150,104.3,29.1,2220,89.1,89.32,0,150,0,0.20000000000000284,6.49,112,149,119,148,301,321,295,-200.7,200.7,75.4,7.5,150,150,0,0,0,150,0,0,0,0,2.17293,0.74275,0.38946,-0.12087,104.3,400,98,83.33333333333334,83.33333333333334,5.77,-0.86,-0.06,2.57,1,125,133.7953333,0.715,2.689,-133.7953333,0.285,0.28500000000000003,1.311,0.653,0,39.6
Tampa Bay Rays,TB,AL,147,80,4,2.05,1.267,0.665,147,147,103.5,28.8,2294,89.2,89.22,0,147,0,0,6.41,111,150,118,149,297,326,294,-197.5,197.5,74.5,7.6,147,147,0,0,0,147,0,0,0,0,2.20163,0.71245,0.28466,-0.07329,103.5,394,97.27891156462584,79.59183673469387,79.59183673469387,5.75,-1.13,0.05,2.45,1,117,134.3482993,0.665,2.422,-134.3482993,0.335,0.33499999999999996,1.578,0.783,0,38.4
Washington Nationals,WSH,NL,135,71,4,2.05,1.267,0.656,135,135,103.2,29.7,2250,89.1,89.45,0,135,0,0.30000000000001137,6.45,116,148,118,149,295,321,297,-196.8,196.8,74,7.3,135,135,0,0,0,135,0,0,0,0,2.30141,0.61267,0.34459,-0.2037,103.2,398,97.77777777777777,85.18518518518519,85.18518518518519,5.83,-0.97,0.01,2.54,1,115,145.7962963,0.656,2.424,-145.7962963,0.344,0.344,1.576,0.783,0,37.8
Chicago White Sox,CWS,AL,133,41,4,2.05,1.284,0.675,133,133,103.7,28.5,2237,88.4,88.79,0,133,0,0.3999999999999915,6.51,110,149,119,147,297,322,293,-172.6,172.6,74.4,7.4,133,133,0,0,0,133,0,0,0,0,2.31752,0.63173,0.31609,0.06406,103.7,394,97.74436090225564,82.70676691729322,82.70676691729322,5.77,-0.99,-0.08,2.45,1,110,129.7887218,0.675,2.449,-129.7887218,0.325,0.32499999999999996,1.551,0.766,0,37.4
